date,1024x768,1280x1024,1280x800,1680x1050,800x600,1440x900,1152x864
2006-11-01,0,0,0,0,0,0,0
2006-11-02,0,0,0,0,0,0,0
2006-11-03,0,0,0,0,0,0,0
2006-11-04,0,0,0,0,0,0,0
2006-11-05,0,0,0,0,0,0,0
2006-11-06,0,0,0,0,0,0,0
2006-11-07,0,0,0,0,0,0,0
2006-11-08,0,0,0,0,0,0,0
2006-11-09,0,0,0,0,0,0,0
2006-11-10,0,0,0,0,0,0,0
2006-11-11,0,0,0,0,0,0,0
2006-11-12,0,0,0,0,0,0,0
2006-11-13,0,0,0,0,0,0,0
2006-11-14,0,0,0,0,0,0,0
2006-11-15,0,0,0,0,0,0,0
2006-11-16,3,2,0,0,0,0,0
2006-11-17,0,0,0,0,0,1,0
2006-11-18,4,8,0,0,0,7,0
2006-11-19,14,5,1,0,0,12,0
2006-11-20,5,5,0,0,0,5,0
2006-11-21,7,0,0,0,0,6,0
2006-11-22,6,0,0,0,0,3,1
2006-11-23,6,0,0,0,0,2,1
2006-11-24,2,0,0,0,0,6,0
2006-11-25,0,0,0,0,0,8,0
2006-11-26,2,0,0,0,0,2,0
2006-11-27,0,0,1,0,0,2,0
2006-11-28,2,0,0,0,0,8,0
2006-11-29,5,0,0,0,0,3,0
2006-11-30,2,0,1,0,0,1,0
2006-12-01,1,0,0,0,0,1,0
2006-12-02,1,0,0,0,0,5,2
2006-12-03,1,2,0,0,0,2,0
2006-12-04,1,4,0,0,0,0,0
2006-12-05,2,0,0,0,0,0,0
2006-12-06,2,0,0,1,0,0,0
2006-12-07,1,0,0,0,0,0,0
2006-12-08,0,4,0,0,3,0,0
2006-12-09,6,3,0,0,0,0,0
2006-12-10,0,0,0,0,0,0,0
2006-12-11,1,1,0,0,0,0,0
2006-12-12,0,0,1,0,0,0,0
2006-12-13,2,0,1,0,0,0,1
2006-12-14,1,0,0,0,0,0,0
2006-12-15,0,0,0,0,0,0,0
2006-12-16,0,3,0,0,0,0,0
2006-12-17,1,3,0,0,0,0,0
2006-12-18,2,0,0,0,1,0,0
2006-12-19,0,0,1,0,2,0,0
2006-12-20,2,0,0,0,1,0,0
2006-12-21,1,0,0,0,1,0,0
2006-12-22,1,0,0,0,0,0,0
2006-12-23,8,0,0,0,1,0,0
2006-12-24,0,1,0,0,0,0,0
2006-12-25,0,0,0,1,0,0,0
2006-12-26,5,0,0,0,0,0,0
2006-12-27,6,0,0,1,1,0,0
2006-12-28,3,0,0,0,0,0,1
2006-12-29,12,1,0,0,0,0,0
2006-12-30,0,2,0,0,0,0,0
2006-12-31,0,1,0,0,0,0,0
2007-01-01,1,1,0,0,1,0,0
2007-01-02,0,1,0,0,0,0,0
2007-01-03,0,2,0,0,0,0,0
2007-01-04,1,2,0,1,0,0,0
2007-01-05,0,1,0,0,0,0,0
2007-01-06,0,1,0,0,0,0,0
2007-01-07,1,1,0,0,0,0,0
2007-01-08,2,3,0,0,2,0,0
2007-01-09,1,3,0,0,0,0,0
2007-01-10,3,1,1,0,1,0,0
2007-01-11,3,1,0,1,2,0,0
2007-01-12,1,1,0,0,2,0,0
2007-01-13,4,3,0,0,0,0,0
2007-01-14,3,10,0,0,1,1,0
2007-01-15,4,7,0,0,1,0,1
2007-01-16,4,2,0,1,1,0,0
2007-01-17,6,3,0,0,0,0,0
2007-01-18,2,2,1,1,3,0,0
2007-01-19,7,0,0,0,1,0,0
2007-01-20,2,5,1,1,0,0,1
2007-01-21,2,20,1,0,0,0,0
2007-01-22,10,3,0,2,0,0,0
2007-01-23,4,5,0,0,0,0,0
2007-01-24,1,11,0,0,1,0,0
2007-01-25,8,3,0,0,0,0,0
2007-01-26,2,3,1,0,0,0,0
2007-01-27,0,1,1,0,0,0,0
2007-01-28,0,13,0,1,2,0,0
2007-01-29,5,5,0,0,0,0,0
2007-01-30,2,4,0,0,2,0,0
2007-01-31,4,3,1,0,1,0,0
2007-02-01,3,1,0,0,0,0,0
2007-02-02,3,0,1,0,0,0,0
2007-02-03,0,1,0,0,1,0,0
2007-02-04,3,3,0,0,0,0,0
2007-02-05,3,0,0,0,0,0,0
2007-02-06,1,2,2,1,0,0,1
2007-02-07,2,0,2,0,0,0,0
2007-02-08,4,2,1,1,0,0,0
2007-02-09,0,1,1,0,1,0,0
2007-02-10,6,2,0,1,2,0,0
2007-02-11,5,3,0,0,0,0,0
2007-02-12,6,2,2,1,0,0,0
2007-02-13,1,1,3,0,0,0,0
2007-02-14,2,0,0,0,1,0,0
2007-02-15,3,1,0,0,0,0,0
2007-02-16,3,0,2,0,0,0,0
2007-02-17,3,10,0,0,0,0,0
2007-02-18,6,10,1,1,1,0,0
2007-02-19,2,13,1,1,0,0,0
2007-02-20,6,7,0,0,0,0,0
2007-02-21,5,2,0,1,0,0,0
2007-02-22,9,9,1,1,0,1,0
2007-02-23,3,3,0,1,0,1,0
2007-02-24,5,10,0,0,0,0,0
2007-02-25,2,16,1,0,0,0,1
2007-02-26,3,2,2,0,0,0,0
2007-02-27,5,3,1,0,1,0,0
2007-02-28,6,5,0,0,1,0,0
2007-03-01,7,3,0,1,0,0,1
2007-03-02,4,1,0,1,0,0,0
2007-03-03,5,2,0,0,0,0,0
2007-03-04,12,5,0,2,2,0,0
2007-03-05,11,2,1,1,1,0,0
2007-03-06,5,2,2,0,0,0,0
2007-03-07,3,0,0,1,0,0,0
2007-03-08,7,1,0,1,1,0,0
2007-03-09,6,1,0,0,0,0,0
2007-03-10,4,5,0,2,0,0,0
2007-03-11,2,5,1,0,0,0,0
2007-03-12,5,1,1,1,0,0,0
2007-03-13,2,0,0,2,0,0,0
2007-03-14,4,1,1,0,0,0,0
2007-03-15,2,0,0,1,0,0,0
2007-03-16,5,0,1,0,0,0,0
2007-03-17,5,0,0,1,0,0,0
2007-03-18,8,5,1,1,0,0,0
2007-03-19,5,0,3,0,0,0,0
2007-03-20,5,0,0,1,0,0,0
2007-03-21,5,1,0,0,0,0,0
2007-03-22,3,2,0,0,0,0,0
2007-03-23,2,1,0,1,0,0,2
2007-03-24,1,2,1,0,0,0,0
2007-03-25,5,2,1,0,0,0,0
2007-03-26,1,2,1,0,0,0,0
2007-03-27,4,0,1,0,1,0,1
2007-03-28,2,2,0,1,0,0,0
